link,location,beds,baths,rent,phone
https://www.kijiji.ca/v-apartments-condos/calgary/one-bedroom-deluxe-suites-the-international-for-rent-220-4/1464763958?imageNumber=19,"220 4 Ave SW, Calgary, AB, T2P 0H5",1,1,"$1,799.00",
https://www.kijiji.ca/v-apartments-condos/calgary/apartment-for-rent/1478322851,"1828 29 Ave SW, Calgary, AB T2T 1M8, Canada",1,1,$900.00,
https://www.kijiji.ca/v-apartments-condos/calgary/fantastic-1-bed-main-floor-apartment-in-trendy-kensington/1478357133,"620 10 St NW, Calgary, AB T2N 1W3, Canada",1 Year,"December 15, 2019",$950.00,
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-townhouse-2631-38-st-ne/1444465638,"2631 - 38 St NE, Calgary, AB, T1Y 3Z8",2,1,"$1,149.00",
https://www.kijiji.ca/v-apartments-condos/calgary/bright-and-cozy-2-bed-1-bath-unit-in-beltline-lease-takeover/1477998100,"Ave SW, Calgary, AB T2R 0J9, Canada",1 Year,"January 1, 2020","$1,446.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bedroom-den-1030-16-ave-sw/1461182176,"1030 - 16 Ave SW, Calgary, AB, T2R 1N1",1,1,"$1,249.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bedroom-71-glamis-dr-sw/1424654792,"71 Glamis Dr. SW, Calgary, AB, T3E 6S5",1,1,"$1,049.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedrooms-beacon-heights-in-sherwood/1115189321?imageNumber=17,"1540 Sherwood Blvd. NW, Calgary, AB, T3R 0K5",1 Year,Limited,"$1,375.00",
https://www.kijiji.ca/v-apartments-condos/calgary/beautiful-2-bedroom-2-bathroom-condo-in-an-amazing-location/1478356217,"429 14 St NW, Calgary, AB T2N 2A3, Canada",1 Year,"December 18, 2019","$1,700.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bed-2-bath-condo-for-rent/1478355426,"T3R0W8, Canada",2 + Den,2,"$1,500.00",
https://www.kijiji.ca/v-apartments-condos/calgary/centrally-located-2-br-2-bath-condo-close-to-downtown/1478355247,"2308 Centre St N, Calgary, AB T2E 2T7, Canada",1 Year,"December 1, 2019","$1,350.00",
https://www.kijiji.ca/v-apartments-condos/calgary/apartments-for-rent/1478353596,"4641 128 Ave NE, Calgary, AB T3N 1B5, Canada",2 + Den,2,"$1,350.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-university-city-condo-green-blg-1350/1478352933,"30 brentwood mnr, calgary t2l1n8 AB, Canada",2,1,"$1,350.00",
https://www.kijiji.ca/v-apartments-condos/calgary/mount-royal-2-bdrm-feb-1-600-rent-discount-adult-bldg/1478350839,"1730 12 St SW, Calgary, AB T2T 3M9, Canada",1 Year,"December 21, 2019","$1,265.00",
https://www.kijiji.ca/v-apartments-condos/calgary/mount-royal-1-bdrm-jan-1-dec-rent-is-free-300-discount/1478350648,"1730 12 St SW, Calgary, AB T2T 3M9, Canada",1,1,$965.00,
https://www.kijiji.ca/v-apartments-condos/calgary/spacious-2-bedroom-2-bathroom-den-condo-for-rent/1478349972,"1317 27 St SE, Calgary, AB T2A 0G3, Canada",1 Year,"January 1, 2020","$1,300.00",
https://www.kijiji.ca/v-apartments-condos/calgary/union-square-lg-2br-condo-great-downtown-loc-pet-friendly/1478346185,"Calgary, AB T2R 0V6, Canada",2,2,"$2,050.00",
https://www.kijiji.ca/v-apartments-condos/calgary/move-in-early-for-jan-fully-furnished-condo-17th-ave-calgary/1478345659,"921 17 Ave SW, Calgary, AB T2T 0A4, Canada",2,2,"$2,050.00",
https://www.kijiji.ca/v-apartments-condos/calgary/incomparable-amenities-remarkable-views-ideal-location/1262748044,"4637 Macleod Trail SW, Calgary, AB, T2G 5C1",2,1,"$1,100.00",
https://www.kijiji.ca/v-apartments-condos/calgary/incomparable-amenities-remarkable-views-ideal-location/1262748042,"4637 Macleod Trail SW, Calgary, AB, T2G 5C1",1,1,"$1,000.00",
https://www.kijiji.ca/v-apartments-condos/calgary/stylish-living-beautiful-views-spacious-thoughtful-design/1262747997,"617 15 Ave SW, Calgary, AB, T2R 0R4",1 Year,Yes,"$1,225.00",
https://www.kijiji.ca/v-apartments-condos/calgary/stylish-living-beautiful-views-spacious-thoughtful-design/1262747966,"617 15 Ave SW, Calgary, AB, T2R 0R4",1 Year,Yes,"$1,225.00",
https://www.kijiji.ca/v-apartments-condos/calgary/apt-rent-in-mission-on-the-river/1478341566,"105 23 Ave SW, Calgary, AB T2S 0H9, Canada",1,1,"$1,000.00",
https://www.kijiji.ca/v-apartments-condos/calgary/beautiful-1-bdrm-condo-in-beacon-heights-sherwood/1478341084,"1540 Sherwood Blvd NW, Calgary, AB T3R 0K5, Canada",1,1,"$1,100.00",
https://www.kijiji.ca/v-apartments-condos/calgary/furnished-room-for-rent-500-all-include-pet-friendly/1478337058,"2014 19 Ave, Didsbury, AB T0M 0W0, Canada",Month-to-month,"December 19, 2019",$500.00,
https://www.kijiji.ca/v-apartments-condos/calgary/1-bedroom-apartment-in-oliver-fireplace-walk-in-closet/1460590472,"10305 120 St, Edmonton, AB T5K 2A5, Canada",1 Year,"September 17, 2019","$1,025.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2br-1b-condo-calgary-bridgeland-close-to-downtown/1478333889,"431 1 Ave NE, Calgary, AB T2E 0B3, Canada",1 Year,"January 1, 2020","$1,400.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-apartment-in-skyveiw-for-rent/1478330135,"4641 128 Ave NE #2501, Calgary, AB T3N 1B5, Canada",Month-to-month,"January 1, 2020","$1,400.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-3380c-spruce-dr-sw/1424654365,"3380C Spruce Dr. SW, Calgary, AB, T3C 3A2",2,1,"$1,249.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-townhouse-2631-38-st-ne/1444465638,"2631 - 38 St NE, Calgary, AB, T1Y 3Z8",2,1,"$1,149.00",
https://www.kijiji.ca/v-apartments-condos/calgary/move-in-today-for-500-off-decembers-rent-nw-newly-renovated/1420543641,"3600 Brenner Drive Northwest #108, Calgary, AB, T2L 1Y2",1 Year,Yes,"$1,399.00",
https://www.kijiji.ca/v-apartments-condos/calgary/condo-living-maintenance-free-london-at-heritage-station/1295432609?imageNumber=9,"8880 Horton Road SW, Calgary, AB, T2V 2W3",1 Year,Yes,"$1,695.00",
https://www.kijiji.ca/v-apartments-condos/calgary/south-east-apartment-for-rent-205-heritage-drive-se/1460810545,"205 Heritage Drive SE, Calgary, AB, T2H 2J8",1 Year,Yes,"$1,025.00",
https://www.kijiji.ca/v-apartments-condos/calgary/for-rent-one-bedroom-suites-in-south-east/1478329647,"136 15 Ave SE, Calgary, AB T2G 2J3, Canada",1 Year,"January 1, 2020",$850.00,
https://www.kijiji.ca/v-apartments-condos/calgary/lakeview-mews-two-bedroom-apartment-for-rent/1465323478,"2528 66 Avenue SW, Calgary, AB, T3E 5K4",2,1,"$1,210.00",
https://www.kijiji.ca/v-apartments-condos/calgary/lakeview-mews-one-bedroom-apartment-for-rent/1472976747,"2528 66 Avenue SW, Calgary, AB, T3E 5K4",1,1,"$1,045.00",
https://www.kijiji.ca/v-apartments-condos/calgary/renovated-apartments-in-sw-calgary-11611-oakfield-drive-sw/1466696794,"11611 Oakfield Dr.  SW, Calgary, AB, T2W 4S9",1 Year,Yes,"$1,175.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-ne-calgary-apartments-360-falshire-drive-ne/1391265970,"360 Falshire Drive NE, Calgary, AB, T3J 2G3",1 Year,Yes,"$1,100.00",
